# step   redshift  time
265   1.893929   0.345551
266   1.875348   0.347784
267   1.856882   0.350032
268   1.838538   0.352294
269   1.820318   0.354570
270   1.802204   0.356862
271   1.784212   0.359168
272   1.766336   0.361489
273   1.748952   0.363775
274   1.731673   0.366076
275   1.714507   0.368391
276   1.697446   0.370721
277   1.680491   0.373066
278   1.663641   0.375426
279   1.646903   0.377800
280   1.630271   0.380189
281   1.614092   0.382542
282   1.598023   0.384908
283   1.582051   0.387289
284   1.566169   0.389686
285   1.550396   0.392096
286   1.534713   0.394522
287   1.519126   0.396963
288   1.503637   0.399419
289   1.488584   0.401835
290   1.473625   0.404265
291   1.458748   0.406711
292   1.443966   0.409171
293   1.429272   0.411646
294   1.414666   0.414136
295   1.400148   0.416641
296   1.385718   0.419161
297   1.371697   0.421639
298   1.357762   0.424131
299   1.343907   0.426638
300   1.330133   0.429160
301   1.316440   0.431697
302   1.302832   0.434248
303   1.289299   0.436815
304   1.275846   0.439397
305   1.262781   0.441934
306   1.249795   0.444485
307   1.236881   0.447051
308   1.224041   0.449632
309   1.211274   0.452228
310   1.198585   0.454838
311   1.185964   0.457464
312   1.173417   0.460105
313   1.161237   0.462698
314   1.149128   0.465305
315   1.137085   0.467927
316   1.125109   0.470564
317   1.113200   0.473216
318   1.101357   0.475883
319   1.089585   0.478564
320   1.077875   0.481261
321   1.066513   0.483907
322   1.055215   0.486567
323   1.043978   0.489242
324   1.032801   0.491932
325   1.021689   0.494636
326   1.010636   0.497355
327   0.999644   0.500089
328   0.988708   0.502839
329   0.978106   0.505534
330   0.967563   0.508243
331   0.957074   0.510967
332   0.946639   0.513706
333   0.936262   0.516459
334   0.925940   0.519227
335   0.915672   0.522010
336   0.905462   0.524807
337   0.895562   0.527548
338   0.885714   0.530303
339   0.875919   0.533072
340   0.866177   0.535855
341   0.856483   0.538653
342   0.846838   0.541466
343   0.837242   0.544294
344   0.827699   0.547136
345   0.818453   0.549918
346   0.809257   0.552713
347   0.800106   0.555523
348   0.790998   0.558348
349   0.781940   0.561186
350   0.772927   0.564039
351   0.763958   0.566907
352   0.755036   0.569789
353   0.746395   0.572608
354   0.737801   0.575440
355   0.729248   0.578286
356   0.720735   0.581147
357   0.712267   0.584021
358   0.703839   0.586910
359   0.695453   0.589813
360   0.687109   0.592730
361   0.679036   0.595580
362   0.671000   0.598444
363   0.663003   0.601322
364   0.655043   0.604214
365   0.647124   0.607119
366   0.639242   0.610038
367   0.631396   0.612972
368   0.623590   0.615919
369   0.616041   0.618796
370   0.608529   0.621686
371   0.601050   0.624590
